"Cell_type"	"Gene"	"source"
"466"	"B Cell"	"Ufm1"	"Abbas_2005"
"467"	"Dendritic Cell"	"USP18"	"Abbas_2005"
"468"	"B Cell"	"VIL2"	"Abbas_2005"
"469"	"Neutrophil"	"VMP1"	"Abbas_2005"
"470"	"Neutrophil"	"VNN2"	"Abbas_2005"
"471"	"B Cell"	"VPREB3"	"Abbas_2005"
"472"	"B Cell"	"WNT10A"	"Abbas_2005"
"473"	"Neutrophil"	"XPO6"	"Abbas_2005"
"474"	"Neutrophil"	"XPO6"	"Abbas_2005"
"475"	"NK Cell"	"YPEL1"	"Abbas_2005"
"476"	"NK Cell"	"YPEL1"	"Abbas_2005"
"477"	"T Cell"	"ZBED2"	"Abbas_2005"
"478"	"Monocyte"	"ZFHX1B"	"Abbas_2005"
"479"	"Monocyte"	"ZFYVE16"	"Abbas_2005"
"480"	"Monocyte"	"ZFYVE16"	"Abbas_2005"
"481"	"T Cell"	"ZNRF1"	"Abbas_2005"
"482"	"Monocyte"	"ZP3"	"Abbas_2005"
"483"	"T Cell"	"ZWINT"	"Abbas_2005"
"484"	"Activated.B.cells"	"AKNA"	"Angelova_2015"
"485"	"Activated.B.cells"	"ARHGAP25"	"Angelova_2015"
"486"	"Activated.B.cells"	"CCL21"	"Angelova_2015"
"487"	"Activated.B.cells"	"CD180"	"Angelova_2015"
"488"	"Activated.B.cells"	"CD2"	"Angelova_2015"
"489"	"Activated.B.cells"	"CD27"	"Angelova_2015"
"490"	"Activated.B.cells"	"CD37"	"Angelova_2015"
"491"	"Activated.B.cells"	"CD38"	"Angelova_2015"
"492"	"Activated.B.cells"	"CLEC17A"	"Angelova_2015"
"493"	"Activated.B.cells"	"CLEC9A"	"Angelova_2015"
"494"	"Activated.B.cells"	"CLECL1"	"Angelova_2015"
"495"	"Activated.B.cells"	"FAIM3"	"Angelova_2015"
"496"	"Activated.B.cells"	"FAM65B"	"Angelova_2015"
"497"	"Activated.B.cells"	"GIMAP4"	"Angelova_2015"
"498"	"Activated.B.cells"	"MAP4K1"	"Angelova_2015"
"499"	"Activated.B.cells"	"PAX5"	"Angelova_2015"
"500"	"Activated.B.cells"	"TNFRSF17"	"Angelova_2015"
"501"	"Activated.B.cells"	"TRAF3IP3"	"Angelova_2015"
"502"	"Activated.CD4"	"ANLN"	"Angelova_2015"
"503"	"Activated.CD4"	"BRIP1"	"Angelova_2015"
"504"	"Activated.CD4"	"BUB1B"	"Angelova_2015"
"505"	"Activated.CD4"	"CASC5"	"Angelova_2015"
"506"	"Activated.CD4"	"CCNB1"	"Angelova_2015"
"507"	"Activated.CD4"	"CCNB2"	"Angelova_2015"
"508"	"Activated.CD4"	"CCNE2"	"Angelova_2015"
"509"	"Activated.CD4"	"CEP55"	"Angelova_2015"
"510"	"Activated.CD4"	"CKAP2L"	"Angelova_2015"
"511"	"Activated.CD4"	"DLGAP5"	"Angelova_2015"
"512"	"Activated.CD4"	"DTL"	"Angelova_2015"
"513"	"Activated.CD4"	"E2F8"	"Angelova_2015"
"514"	"Activated.CD4"	"ECT2"	"Angelova_2015"
"515"	"Activated.CD4"	"ESCO2"	"Angelova_2015"
"516"	"Activated.CD4"	"EXO1"	"Angelova_2015"
"517"	"Activated.CD4"	"EXOC6"	"Angelova_2015"
"518"	"Activated.CD4"	"FBXO5"	"Angelova_2015"
"519"	"Activated.CD4"	"FIGNL1"	"Angelova_2015"
"520"	"Activated.CD4"	"HELLS"	"Angelova_2015"
"521"	"Activated.CD4"	"HMMR"	"Angelova_2015"
"522"	"Activated.CD4"	"IARS"	"Angelova_2015"
"523"	"Activated.CD4"	"KIF11"	"Angelova_2015"
"524"	"Activated.CD4"	"KIF18A"	"Angelova_2015"
"525"	"Activated.CD4"	"KIF20A"	"Angelova_2015"
"526"	"Activated.CD4"	"KNTC1"	"Angelova_2015"
"527"	"Activated.CD4"	"MAD2L1"	"Angelova_2015"
"528"	"Activated.CD4"	"MASTL"	"Angelova_2015"
"529"	"Activated.CD4"	"MTHFD2"	"Angelova_2015"
"530"	"Activated.CD4"	"NCAPG2"	"Angelova_2015"
"531"	"Activated.CD4"	"NCAPH"	"Angelova_2015"
"532"	"Activated.CD4"	"NEIL3"	"Angelova_2015"
"533"	"Activated.CD4"	"NUF2"	"Angelova_2015"
"534"	"Activated.CD4"	"PRC1"	"Angelova_2015"
"535"	"Activated.CD4"	"PSAT1"	"Angelova_2015"
"536"	"Activated.CD4"	"RTKN2"	"Angelova_2015"
"537"	"Activated.CD8"	"ADRM1"	"Angelova_2015"
"538"	"Activated.CD8"	"AHSA1"	"Angelova_2015"
"539"	"Activated.CD8"	"C1GALT1C1"	"Angelova_2015"
"540"	"Activated.CD8"	"CCT5"	"Angelova_2015"
"541"	"Activated.CD8"	"CCT6B"	"Angelova_2015"
"542"	"Activated.CD8"	"CETN3"	"Angelova_2015"
"543"	"Activated.CD8"	"CSE1L"	"Angelova_2015"
"544"	"Activated.CD8"	"EIF2S1"	"Angelova_2015"
"545"	"Activated.CD8"	"GAL"	"Angelova_2015"
"546"	"Activated.CD8"	"GEMIN6"	"Angelova_2015"
"547"	"Activated.CD8"	"GPT2"	"Angelova_2015"
"548"	"Activated.CD8"	"KIAA0101"	"Angelova_2015"
"549"	"Activated.CD8"	"MND1"	"Angelova_2015"
"550"	"Activated.CD8"	"MPZL1"	"Angelova_2015"
"551"	"Activated.CD8"	"MRPS16"	"Angelova_2015"
"552"	"Activated.CD8"	"PCNA"	"Angelova_2015"
"553"	"Activated.CD8"	"PTRH2"	"Angelova_2015"
"554"	"Activated.CD8"	"RFC5"	"Angelova_2015"
"555"	"Activated.CD8"	"SPC25"	"Angelova_2015"
"556"	"Activated.CD8"	"TIMM13"	"Angelova_2015"
"557"	"Activated.CD8"	"TIMM8B"	"Angelova_2015"
"558"	"Activated.CD8"	"TK1"	"Angelova_2015"
"559"	"Activated.CD8"	"TUBB"	"Angelova_2015"
"560"	"Activated.CD8"	"TXNDC17"	"Angelova_2015"
"561"	"Central.memory.CD4"	"ADAM19"	"Angelova_2015"
"562"	"Central.memory.CD4"	"AHNAK"	"Angelova_2015"
"563"	"Central.memory.CD4"	"AIM2"	"Angelova_2015"
"564"	"Central.memory.CD4"	"COL4A1"	"Angelova_2015"
"565"	"Central.memory.CD4"	"CYLD"	"Angelova_2015"
"566"	"Central.memory.CD4"	"DPEP2"	"Angelova_2015"
"567"	"Central.memory.CD4"	"EPHA4"	"Angelova_2015"
"568"	"Central.memory.CD4"	"FYN"	"Angelova_2015"
"569"	"Central.memory.CD4"	"IL6R"	"Angelova_2015"
"570"	"Central.memory.CD4"	"IPCEF1"	"Angelova_2015"
"571"	"Central.memory.CD4"	"KLF10"	"Angelova_2015"
"572"	"Central.memory.CD4"	"MAL"	"Angelova_2015"
"573"	"Central.memory.CD4"	"MALT1"	"Angelova_2015"
"574"	"Central.memory.CD4"	"NXN"	"Angelova_2015"
"575"	"Central.memory.CD4"	"OPTN"	"Angelova_2015"
"576"	"Central.memory.CD4"	"PLCL2"	"Angelova_2015"
"577"	"Central.memory.CD4"	"PNRC1"	"Angelova_2015"
"578"	"Central.memory.CD4"	"SMAD4"	"Angelova_2015"
"579"	"Central.memory.CD4"	"SPOCK2"	"Angelova_2015"
"580"	"Central.memory.CD4"	"TRIB2"	"Angelova_2015"
"581"	"Central.memory.CD4"	"TXK"	"Angelova_2015"
"582"	"Central.memory.CD8"	"ADAM23"	"Angelova_2015"
"583"	"Central.memory.CD8"	"ATP2B4"	"Angelova_2015"
"584"	"Central.memory.CD8"	"BCL2L11"	"Angelova_2015"
"585"	"Central.memory.CD8"	"CD300A"	"Angelova_2015"
"586"	"Central.memory.CD8"	"CD80"	"Angelova_2015"
"587"	"Central.memory.CD8"	"CHN1"	"Angelova_2015"
"588"	"Central.memory.CD8"	"F2R"	"Angelova_2015"
"589"	"Central.memory.CD8"	"F8"	"Angelova_2015"
"590"	"Central.memory.CD8"	"GABARAPL1"	"Angelova_2015"
"591"	"Central.memory.CD8"	"GPR183"	"Angelova_2015"
"592"	"Central.memory.CD8"	"KLRK1"	"Angelova_2015"
"593"	"Central.memory.CD8"	"MSC"	"Angelova_2015"
"594"	"Central.memory.CD8"	"PYHIN1"	"Angelova_2015"
"595"	"Central.memory.CD8"	"RCAN2"	"Angelova_2015"
"596"	"Central.memory.CD8"	"RGS1"	"Angelova_2015"
"597"	"Central.memory.CD8"	"SLAMF1"	"Angelova_2015"
"598"	"Central.memory.CD8"	"SLFN11"	"Angelova_2015"
"599"	"Central.memory.CD8"	"ZEB2"	"Angelova_2015"
"600"	"Cytotoxic.cells"	"BST2"	"Angelova_2015"
"601"	"Cytotoxic.cells"	"BTN3A2"	"Angelova_2015"
"602"	"Cytotoxic.cells"	"IL10RA"	"Angelova_2015"
"603"	"Cytotoxic.cells"	"KLRB1"	"Angelova_2015"
"604"	"Cytotoxic.cells"	"LAT2"	"Angelova_2015"
"605"	"Cytotoxic.cells"	"LILRA2"	"Angelova_2015"
"606"	"Cytotoxic.cells"	"SELL"	"Angelova_2015"
"607"	"Cytotoxic.cells"	"SLAMF6"	"Angelova_2015"
"608"	"Cytotoxic.cells"	"SLAMF7"	"Angelova_2015"
"609"	"DC"	"C1QC"	"Angelova_2015"
"610"	"DC"	"CCDC88A"	"Angelova_2015"
"611"	"DC"	"CCL13"	"Angelova_2015"
"612"	"DC"	"CCL3L1"	"Angelova_2015"
"613"	"DC"	"CCL3L3"	"Angelova_2015"
"614"	"DC"	"CD300E"	"Angelova_2015"
"615"	"DC"	"CD86"	"Angelova_2015"
"616"	"DC"	"CLEC1A"	"Angelova_2015"
"617"	"DC"	"CLEC4C"	"Angelova_2015"
"618"	"DC"	"CLEC5A"	"Angelova_2015"
"619"	"DC"	"CLIC2"	"Angelova_2015"
"620"	"DC"	"CSF2RA"	"Angelova_2015"
"621"	"DC"	"FAM49A"	"Angelova_2015"
"622"	"DC"	"FCGR1A"	"Angelova_2015"
"623"	"DC"	"FN1"	"Angelova_2015"
"624"	"DC"	"FSTL1"	"Angelova_2015"
"625"	"DC"	"GPR109B"	"Angelova_2015"
"626"	"DC"	"GPX3"	"Angelova_2015"
"627"	"DC"	"HLA-DQA2"	"Angelova_2015"
"628"	"DC"	"INHBA"	"Angelova_2015"
"629"	"DC"	"LGMN"	"Angelova_2015"
"630"	"DC"	"NGFR"	"Angelova_2015"
"631"	"DC"	"PDGFRL"	"Angelova_2015"
"632"	"DC"	"PDPN"	"Angelova_2015"
"633"	"DC"	"PRKAR2B"	"Angelova_2015"
"634"	"DC"	"SIGLEC1"	"Angelova_2015"
"635"	"DC"	"SIGLEC5"	"Angelova_2015"
"636"	"DC"	"SLAMF9"	"Angelova_2015"
"637"	"DC"	"STAB1"	"Angelova_2015"
"638"	"DC"	"THBD"	"Angelova_2015"
"639"	"DC"	"TNFAIP2"	"Angelova_2015"
"640"	"DC"	"TTYH2"	"Angelova_2015"
"641"	"DC"	"UBD"	"Angelova_2015"
"642"	"DC"	"VCAM1"	"Angelova_2015"
"643"	"Effector.memory.CD4"	"BMI1"	"Angelova_2015"
"644"	"Effector.memory.CD4"	"CASP3"	"Angelova_2015"
"645"	"Effector.memory.CD4"	"CNOT10"	"Angelova_2015"
"646"	"Effector.memory.CD4"	"COPB2"	"Angelova_2015"
"647"	"Effector.memory.CD4"	"DARS"	"Angelova_2015"
"648"	"Effector.memory.CD4"	"EXOSC9"	"Angelova_2015"
"649"	"Effector.memory.CD4"	"EZH2"	"Angelova_2015"
"650"	"Effector.memory.CD4"	"GDE1"	"Angelova_2015"
"651"	"Effector.memory.CD4"	"IFT74"	"Angelova_2015"
"652"	"Effector.memory.CD4"	"KLF5"	"Angelova_2015"
"653"	"Effector.memory.CD4"	"NDUFB9"	"Angelova_2015"
"654"	"Effector.memory.CD4"	"NUP205"	"Angelova_2015"
"655"	"Effector.memory.CD4"	"SHCBP1"	"Angelova_2015"
"656"	"Effector.memory.CD4"	"XRCC6"	"Angelova_2015"
"657"	"Effector.memory.CD8"	"APOBEC3H"	"Angelova_2015"
"658"	"Effector.memory.CD8"	"ARHGAP10"	"Angelova_2015"
"659"	"Effector.memory.CD8"	"ATP10D"	"Angelova_2015"
"660"	"Effector.memory.CD8"	"BIRC3"	"Angelova_2015"
"661"	"Effector.memory.CD8"	"C3AR1"	"Angelova_2015"
"662"	"Effector.memory.CD8"	"CCL4"	"Angelova_2015"
"663"	"Effector.memory.CD8"	"CD244"	"Angelova_2015"
"664"	"Effector.memory.CD8"	"CD55"	"Angelova_2015"
"665"	"Effector.memory.CD8"	"CFLAR"	"Angelova_2015"
"666"	"Effector.memory.CD8"	"CMKLR1"	"Angelova_2015"
"667"	"Effector.memory.CD8"	"DAPP1"	"Angelova_2015"
"668"	"Effector.memory.CD8"	"DFNB31"	"Angelova_2015"
"669"	"Effector.memory.CD8"	"DRAM1"	"Angelova_2015"
"670"	"Effector.memory.CD8"	"EFNA5"	"Angelova_2015"
"671"	"Effector.memory.CD8"	"FCGR2C"	"Angelova_2015"
"672"	"Effector.memory.CD8"	"FCGR3A"	"Angelova_2015"
"673"	"Effector.memory.CD8"	"FCRL6"	"Angelova_2015"
"674"	"Effector.memory.CD8"	"FGR"	"Angelova_2015"
"675"	"Effector.memory.CD8"	"GPR114"	"Angelova_2015"
"676"	"Effector.memory.CD8"	"GZMH"	"Angelova_2015"
"677"	"Effector.memory.CD8"	"HAPLN3"	"Angelova_2015"
"678"	"Effector.memory.CD8"	"HLA-DMB"	"Angelova_2015"
"679"	"Effector.memory.CD8"	"HLA-DPA1"	"Angelova_2015"
"680"	"Effector.memory.CD8"	"HLA-DPB1"	"Angelova_2015"
"681"	"Effector.memory.CD8"	"IFI16"	"Angelova_2015"
"682"	"Effector.memory.CD8"	"IKZF2"	"Angelova_2015"
"683"	"Effector.memory.CD8"	"IL15"	"Angelova_2015"
"684"	"Effector.memory.CD8"	"IL2RB"	"Angelova_2015"
"685"	"Effector.memory.CD8"	"JAKMIP1"	"Angelova_2015"
"686"	"Effector.memory.CD8"	"KLRD1"	"Angelova_2015"
"687"	"Effector.memory.CD8"	"LY96"	"Angelova_2015"
"688"	"Effector.memory.CD8"	"NFKBIA"	"Angelova_2015"
"689"	"Effector.memory.CD8"	"PLXNC1"	"Angelova_2015"
"690"	"Effector.memory.CD8"	"PPP4R1"	"Angelova_2015"
"691"	"Effector.memory.CD8"	"PTPN22"	"Angelova_2015"
"692"	"Effector.memory.CD8"	"RGS18"	"Angelova_2015"
"693"	"Effector.memory.CD8"	"SETD7"	"Angelova_2015"
"694"	"Effector.memory.CD8"	"SH2D1B"	"Angelova_2015"
"695"	"Effector.memory.CD8"	"SLA2"	"Angelova_2015"
"696"	"Effector.memory.CD8"	"STXBP1"	"Angelova_2015"
"697"	"Effector.memory.CD8"	"TLR5"	"Angelova_2015"
"698"	"Effector.memory.CD8"	"TYROBP"	"Angelova_2015"
"699"	"Eosinophil"	"CCL24"	"Angelova_2015"
"700"	"Eosinophil"	"CFD"	"Angelova_2015"
"701"	"Eosinophil"	"CREB3"	"Angelova_2015"
"702"	"Eosinophil"	"EGR1"	"Angelova_2015"
"703"	"Eosinophil"	"EPX"	"Angelova_2015"
"704"	"Eosinophil"	"FBXO16"	"Angelova_2015"
"705"	"Eosinophil"	"HFE"	"Angelova_2015"
"706"	"Eosinophil"	"HIVEP1"	"Angelova_2015"
"707"	"Eosinophil"	"HIVEP2"	"Angelova_2015"
"708"	"Eosinophil"	"MBP"	"Angelova_2015"
"709"	"Eosinophil"	"PRNP"	"Angelova_2015"
"710"	"Eosinophil"	"RNASE2"	"Angelova_2015"
"711"	"Eosinophil"	"RNASE3"	"Angelova_2015"
"712"	"Eosinophil"	"S100A4"	"Angelova_2015"
"713"	"Eosinophil"	"SIGLEC8"	"Angelova_2015"
"714"	"Immature.B.cells"	"BANK1"	"Angelova_2015"
"715"	"Immature.B.cells"	"CD22"	"Angelova_2015"
"716"	"Immature.B.cells"	"CYBB"	"Angelova_2015"
"717"	"Immature.B.cells"	"ETS1"	"Angelova_2015"
"718"	"Immature.B.cells"	"FAM129C"	"Angelova_2015"
"719"	"Immature.B.cells"	"FCRL1"	"Angelova_2015"
"720"	"Immature.B.cells"	"FCRL2"	"Angelova_2015"
"721"	"Immature.B.cells"	"FCRL3"	"Angelova_2015"
"722"	"Immature.B.cells"	"FCRL5"	"Angelova_2015"
"723"	"Immature.B.cells"	"FCRLA"	"Angelova_2015"
"724"	"Immature.B.cells"	"HDAC9"	"Angelova_2015"
"725"	"Immature.B.cells"	"HLA-DOB"	"Angelova_2015"
"726"	"Immature.B.cells"	"HLA-DQA1"	"Angelova_2015"
"727"	"Immature.B.cells"	"HVCN1"	"Angelova_2015"
"728"	"Immature.B.cells"	"KIAA0226"	"Angelova_2015"
"729"	"Immature.B.cells"	"NCF1"	"Angelova_2015"
"730"	"Immature.B.cells"	"NCF1B"	"Angelova_2015"
"731"	"Immature.B.cells"	"P2RY10"	"Angelova_2015"
"732"	"Immature.B.cells"	"PNOC"	"Angelova_2015"
"733"	"Immature.B.cells"	"SP100"	"Angelova_2015"
"734"	"Immature.B.cells"	"STAP1"	"Angelova_2015"
"735"	"Immature.B.cells"	"TAGAP"	"Angelova_2015"
"736"	"Immature.B.cells"	"TXNIP"	"Angelova_2015"
"737"	"Immature.B.cells"	"ZCCHC2"	"Angelova_2015"
"738"	"MDSC"	"ADORA3"	"Angelova_2015"
"739"	"MDSC"	"AG2"	"Angelova_2015"
"740"	"MDSC"	"ARG1"	"Angelova_2015"
"741"	"MDSC"	"BIN2"	"Angelova_2015"
"742"	"MDSC"	"C1orf162"	"Angelova_2015"
"743"	"MDSC"	"CAPS"	"Angelova_2015"
"744"	"MDSC"	"CD117"	"Angelova_2015"
"745"	"MDSC"	"CD11B"	"Angelova_2015"
"746"	"MDSC"	"CD11C"	"Angelova_2015"
"747"	"MDSC"	"CD124"	"Angelova_2015"
"748"	"MDSC"	"CD14"	"Angelova_2015"
"749"	"MDSC"	"CD15"	"Angelova_2015"
"750"	"MDSC"	"CD163L1"	"Angelova_2015"
"751"	"MDSC"	"CD1D1"	"Angelova_2015"
"752"	"MDSC"	"CD21"	"Angelova_2015"
"753"	"MDSC"	"CD23"	"Angelova_2015"
"754"	"MDSC"	"CD274"	"Angelova_2015"
"755"	"MDSC"	"CD31"	"Angelova_2015"
"756"	"MDSC"	"CD35"	"Angelova_2015"
"757"	"MDSC"	"CD40"	"Angelova_2015"
"758"	"MDSC"	"CD43"	"Angelova_2015"
"759"	"MDSC"	"CD44"	"Angelova_2015"
"760"	"MDSC"	"CD66B"	"Angelova_2015"
"761"	"MDSC"	"COX2"	"Angelova_2015"
"762"	"MDSC"	"CR2"	"Angelova_2015"
"763"	"MDSC"	"CTR9"	"Angelova_2015"
"764"	"MDSC"	"EBP"	"Angelova_2015"
"765"	"MDSC"	"FAM48A"	"Angelova_2015"
"766"	"MDSC"	"FAM70B"	"Angelova_2015"
"767"	"MDSC"	"FCER2"	"Angelova_2015"
"768"	"MDSC"	"FCGRT"	"Angelova_2015"
"769"	"MDSC"	"FERMT3"	"Angelova_2015"
"770"	"MDSC"	"FLOT1"	"Angelova_2015"
"771"	"MDSC"	"FLT1"	"Angelova_2015"
"772"	"MDSC"	"GIMAP7"	"Angelova_2015"
"773"	"MDSC"	"GLI4"	"Angelova_2015"
"774"	"MDSC"	"GNA15"	"Angelova_2015"
"775"	"MDSC"	"GPR34"	"Angelova_2015"
"776"	"MDSC"	"GPSM3"	"Angelova_2015"
"777"	"MDSC"	"HLA-DR"	"Angelova_2015"
"778"	"MDSC"	"IDO"	"Angelova_2015"
"779"	"MDSC"	"IKZF1"	"Angelova_2015"
"780"	"MDSC"	"IL12"	"Angelova_2015"
"781"	"MDSC"	"IL13"	"Angelova_2015"
"782"	"MDSC"	"IL18BP"	"Angelova_2015"
"783"	"MDSC"	"IL1R"	"Angelova_2015"
"784"	"MDSC"	"IL4RA"	"Angelova_2015"
"785"	"MDSC"	"INPP5D"	"Angelova_2015"
"786"	"MDSC"	"ITGA3"	"Angelova_2015"
"787"	"MDSC"	"KDR"	"Angelova_2015"
"788"	"MDSC"	"KRIT1"	"Angelova_2015"
"789"	"MDSC"	"LGALS3"	"Angelova_2015"
"790"	"MDSC"	"MGAT4A"	"Angelova_2015"
"791"	"MDSC"	"NAIP"	"Angelova_2015"
"792"	"MDSC"	"NEK3"	"Angelova_2015"
"793"	"MDSC"	"NFSF13"	"Angelova_2015"
"794"	"MDSC"	"NOG"	"Angelova_2015"
"795"	"MDSC"	"PARVG"	"Angelova_2015"
"796"	"MDSC"	"PDRG1"	"Angelova_2015"
"797"	"MDSC"	"PECAM1"	"Angelova_2015"
"798"	"MDSC"	"PIK3R5"	"Angelova_2015"
"799"	"MDSC"	"PPP1R2P4"	"Angelova_2015"
"800"	"MDSC"	"PSAP"	"Angelova_2015"
"801"	"MDSC"	"PTGES2"	"Angelova_2015"
"802"	"MDSC"	"PTPRE"	"Angelova_2015"
"803"	"MDSC"	"RNASE1"	"Angelova_2015"
"804"	"MDSC"	"RP11"	"Angelova_2015"
"805"	"MDSC"	"S100A8"	"Angelova_2015"
"806"	"MDSC"	"S100A9"	"Angelova_2015"
"807"	"MDSC"	"SELPLG"	"Angelova_2015"
"808"	"MDSC"	"SLA"	"Angelova_2015"
"809"	"MDSC"	"SLC36A1"	"Angelova_2015"
"810"	"MDSC"	"SLC44A1"	"Angelova_2015"
"811"	"MDSC"	"ST8SIA4"	"Angelova_2015"
"812"	"MDSC"	"STAT3"	"Angelova_2015"
"813"	"MDSC"	"STAT6"	"Angelova_2015"
"814"	"MDSC"	"TBXAS1"	"Angelova_2015"
"815"	"MDSC"	"TFGFB1"	"Angelova_2015"
"816"	"MDSC"	"TFGFB2"	"Angelova_2015"
"817"	"MDSC"	"TFGFB3"	"Angelova_2015"
"818"	"MDSC"	"TFGFB5"	"Angelova_2015"
"819"	"MDSC"	"TFRC"	"Angelova_2015"
"820"	"MDSC"	"TGFB2"	"Angelova_2015"
"821"	"MDSC"	"TPP1"	"Angelova_2015"
"822"	"MDSC"	"VTCN1"	"Angelova_2015"
"823"	"Macrophages"	"AIF1"	"Angelova_2015"
"824"	"Macrophages"	"CCL1"	"Angelova_2015"
"825"	"Macrophages"	"CCL14"	"Angelova_2015"
"826"	"Macrophages"	"CCL26"	"Angelova_2015"
"827"	"Macrophages"	"CD163"	"Angelova_2015"
"828"	"Macrophages"	"CD300LB"	"Angelova_2015"
"829"	"Macrophages"	"CNR1"	"Angelova_2015"
"830"	"Macrophages"	"CNR2"	"Angelova_2015"
"831"	"Macrophages"	"CPM"	"Angelova_2015"
"832"	"Macrophages"	"CSF3R"	"Angelova_2015"
"833"	"Macrophages"	"ENG"	"Angelova_2015"
"834"	"Macrophages"	"FCAR"	"Angelova_2015"
"835"	"Macrophages"	"IGF1"	"Angelova_2015"
"836"	"Macrophages"	"IL34"	"Angelova_2015"
"837"	"Macrophages"	"L1CAM"	"Angelova_2015"
"838"	"Macrophages"	"LILRA1"	"Angelova_2015"
"839"	"Macrophages"	"LILRA5"	"Angelova_2015"
"840"	"Macrophages"	"LRP1"	"Angelova_2015"
"841"	"Macrophages"	"MS4A7"	"Angelova_2015"
"842"	"Macrophages"	"MS4A8B"	"Angelova_2015"
"843"	"Macrophages"	"TREM1"	"Angelova_2015"
"844"	"Macrophages"	"TREML1"	"Angelova_2015"
"845"	"Mast.cells"	"ACSL4"	"Angelova_2015"
"846"	"Mast.cells"	"ADAMTS3"	"Angelova_2015"
"847"	"Mast.cells"	"ADCYAP1"	"Angelova_2015"
"848"	"Mast.cells"	"ARHGAP15"	"Angelova_2015"
"849"	"Mast.cells"	"ATP8B4"	"Angelova_2015"
"850"	"Mast.cells"	"C19orf59"	"Angelova_2015"
"851"	"Mast.cells"	"CASQ1"	"Angelova_2015"
"852"	"Mast.cells"	"CLC"	"Angelova_2015"
"853"	"Mast.cells"	"CMA1"	"Angelova_2015"
"854"	"Mast.cells"	"CPA3"	"Angelova_2015"
"855"	"Mast.cells"	"CTSG"	"Angelova_2015"
"856"	"Mast.cells"	"DUSP14"	"Angelova_2015"
"857"	"Mast.cells"	"EGR3"	"Angelova_2015"
"858"	"Mast.cells"	"EMR1"	"Angelova_2015"
"859"	"Mast.cells"	"FST"	"Angelova_2015"
"860"	"Mast.cells"	"HDC"	"Angelova_2015"
"861"	"Mast.cells"	"HEY1"	"Angelova_2015"
"862"	"Mast.cells"	"KRT1"	"Angelova_2015"
"863"	"Mast.cells"	"LXN"	"Angelova_2015"
"864"	"Mast.cells"	"MEIS2"	"Angelova_2015"
"865"	"Mast.cells"	"MS4A2"	"Angelova_2015"
"866"	"Mast.cells"	"MS4A3"	"Angelova_2015"
"867"	"Mast.cells"	"NLRP3"	"Angelova_2015"
"868"	"Mast.cells"	"NTRK1"	"Angelova_2015"
"869"	"Mast.cells"	"PLAT"	"Angelova_2015"
"870"	"Mast.cells"	"PTGS1"	"Angelova_2015"
"871"	"Mast.cells"	"PTGS2"	"Angelova_2015"
"872"	"Mast.cells"	"RGS16"	"Angelova_2015"
"873"	"Mast.cells"	"SCG2"	"Angelova_2015"
"874"	"Mast.cells"	"SDPR"	"Angelova_2015"
"875"	"Mast.cells"	"SERPINB2"	"Angelova_2015"
"876"	"Mast.cells"	"SIGLEC14"	"Angelova_2015"
"877"	"Mast.cells"	"SIGLEC6"	"Angelova_2015"
"878"	"Mast.cells"	"SLC18A2"	"Angelova_2015"
"879"	"Mast.cells"	"SLC24A3"	"Angelova_2015"
"880"	"Mast.cells"	"TAL1"	"Angelova_2015"
"881"	"Mast.cells"	"TARP"	"Angelova_2015"
"882"	"Mast.cells"	"TIE1"	"Angelova_2015"
"883"	"Mast.cells"	"TIMP1"	"Angelova_2015"
"884"	"Mast.cells"	"TNFAIP6"	"Angelova_2015"
"885"	"Mast.cells"	"TSPAN4"	"Angelova_2015"
"886"	"Mast.cells"	"VAT1"	"Angelova_2015"
"887"	"Memory.B.cells"	"AICDA"	"Angelova_2015"
"888"	"Memory.B.cells"	"CCNA2"	"Angelova_2015"
"889"	"Memory.B.cells"	"CDKN3"	"Angelova_2015"
"890"	"Memory.B.cells"	"CLCN5"	"Angelova_2015"
"891"	"Memory.B.cells"	"ENPP1"	"Angelova_2015"
"892"	"Memory.B.cells"	"FCER1A"	"Angelova_2015"
"893"	"Memory.B.cells"	"FCRL4"	"Angelova_2015"
"894"	"Memory.B.cells"	"MYC"	"Angelova_2015"
"895"	"Memory.B.cells"	"RUNX2"	"Angelova_2015"
"896"	"Memory.B.cells"	"SORL1"	"Angelova_2015"
"897"	"Memory.B.cells"	"SOX5"	"Angelova_2015"
"898"	"Memory.B.cells"	"STAT5A"	"Angelova_2015"
"899"	"Memory.B.cells"	"STAT5B"	"Angelova_2015"
"900"	"Memory.B.cells"	"TLR9"	"Angelova_2015"
"901"	"Monocytes"	"ACTR3"	"Angelova_2015"
"902"	"Monocytes"	"ANXA5"	"Angelova_2015"
"903"	"Monocytes"	"ARPC2"	"Angelova_2015"
"904"	"Monocytes"	"ATP6V1B2"	"Angelova_2015"
"905"	"Monocytes"	"BASP1"	"Angelova_2015"
"906"	"Monocytes"	"CD300LF"	"Angelova_2015"
"907"	"Monocytes"	"DAZAP2"	"Angelova_2015"
"908"	"Monocytes"	"EIF4A1"	"Angelova_2015"
"909"	"Monocytes"	"EIF4G2"	"Angelova_2015"
"910"	"Monocytes"	"EMP3"	"Angelova_2015"
"911"	"Monocytes"	"FCN1"	"Angelova_2015"
"912"	"Monocytes"	"FTL"	"Angelova_2015"
"913"	"Monocytes"	"GABARAP"	"Angelova_2015"
"914"	"Monocytes"	"HIF1A"	"Angelova_2015"
