"cluster_gr"	"annot"	"Go"
"GREB1"	30	"S_31"	"T CD8 memory 2"
"PLXNA4"	26	"S_25"	"pDC"
"GPD1"	47	"S_22"	"DC mature"
"NKPD1"	30	"S_31"	"T CD8 memory 2"
"GRM6"	30	"S_31"	"T CD8 memory 2"
"SIRPB1"	17	"S_9"	"Monocyte"
"ANXA10"	47	"S_22"	"DC mature"
"DUSP27"	65	"S_23"	"T CD8 memory 1"
"SYT7"	36	"S_15"	"Myocyte"
"SLITRK5"	1	"S_1"	"Mast"
"CR1"	15	"S_8"	"B cell"
"CECR2"	36	"S_15"	"Myocyte"
"FAM196A"	26	"S_25"	"pDC"
"BEST3"	65	"S_23"	"T CD8 memory 1"
